,skill,cluster
0,conduct shearing of wool,24
1,use concurrent programming,2
2,feed mirror machine,2
3,analyse legislation,5
4,develop prop effects,13
5,osteopathy,12
6,verify lenses compliance,7
7,image recognition,7
8,treat flood damage,2
9,adjust fuel prices in line with company procedures,17
10,work with e-services available to citizens,3
11,inform on water supply,1
12,property management software,8
13,support community-based tourism,19
14,decode handwritten texts,2
15,manage aquatic resources,3
16,museum databases,19
17,ensure health and safety of dive teams,1
18,coordinate with tram maintenance department,14
19,test medical devices,4
20,footwear industry,3
21,religious studies,8
22,exert expenditure control,19
23,store goods,19
24,solar absorption cooling system,1
25,pre-grind nibs of cocoa,15
26,produce harp components,23
27,endocrinology,13
28,follow health and safety procedures in construction,0
29,prepare warranty documents for audiology equipment,23
30,monitor organisation climate,21
31,select mould types,21
32,react to events in time-critical environments,0
33,Informatica PowerCenter,17
34,fish welfare regulations,3
35,draft procurement technical specifications,2
36,determine salaries,19
37,handle carriers,5
38,promote sustainable energy,10
39,tend cold extrusion machine,6
40,clean the trimming box,11
41,make an inventory of fixtures,11
42,conduct research interview,13
43,keep sawing equipment in good condition,24
44,use rope access techniques,11
45,interpret technical requirements,3
46,measure light levels,16
47,operate file for deburring,1
48,recruit personnel,13
49,make-up techniques,16
50,inspect cabin service equipment,2
51,write up a list of technical specifications,3
52,alkali stages of refining processes for edible oils,9
53,interpret laboratory data in medical genetics,5
54,combined heat and power generation,21
55,hold metal work piece in machine,9
56,define brand identity,4
57,Montessori philosophy,3
58,define energy profiles,17
59,master language rules,13
60,pregnancy,21
61,understand written Turkish,18
62,liaise with well test engineers,19
63,investigate mine accidents,14
64,advise on waste management procedures,10
65,keep up with eating out trends,2
66,JavaScript Framework,17
67,tie tobacco leaves in hands,15
68,computational biology,8
69,clean stalls,11
70,perform music solo,23
71,use traditional illustration techniques,7
72,compile appraisal reports,8
73,simulation-based clinical education ,12
74,prepare instruments for performance,23
75,livestock feeding,10
76,patch clay products,24
77,use localisation tools,0
78,clean kitchen equipment,1
79,manage production enterprise,6
80,maintain safe engineering watches,6
81,teach chemistry,3
82,multimodal transport logistics,14
83,understand game species,5
84,metrology,2
85,forest conservation,6
86,update procedure instructions,1
87,continuum mechanics,7
88,enforce customer's debt repayment,8
89,interpret languages in live broadcasting shows,18
90,analyse business objectives,13
91,solder electronics,9
92,consult with design team,2
93,moderate in negotiations,16
94,use body adornment equipment,3
95,diagnose defective engines,6
96,conduct physical examination in emergency,4
97,Swift (computer programming),2
98,nurse plants,12
99,utilise cross-selling,16
100,interact verbally in Danish,18
101,remove windshields,6
102,involve volunteers,1
103,use maritime English,3
104,conduct research on hearing topics,13
105,internal risk management policy,14
106,types of digital badges,5
107,perform mortuary facility administration,18
108,contract law,16
109,consider ergonomic aspects of urban transportation,14
110,apply safe work practices in a veterinary setting,0
111,create a financial plan,19
112,use equipment for safe stowage,14
113,manufacture dental prostheses,20
114,identify processes for re-engineering,17
115,assess candidates,13
116,play with children,1
117,deal with pressure from unexpected circumstances,22
118,types of arrows,2
119,tune a projector,7
120,bathymetry,1
121,manage vessel cargo activities,14
122,install glass frames,11
123,Sanskrit,18
124,oversee arrival and departure of ships into port,3
125,polling techniques,2
126,design safety equipment,0
127,measure paper sheets,11
128,teach teaching principles,3
129,track changes in text editing,2
130,sophrology,12
131,Romani,18
132,record jewel weight,8
133,select tree felling methods,6
134,handle communications in the food processing industry,15
135,calculate costs for animal embryo transfer,0
136,ensure curriculum adherence,5
137,keep up to date on professional dance practice,23
138,hair cutting techniques,3
139,interpret findings from medical examinations,4
140,operate mixing of food products,9
141,supervise waste disposal,10
142,teach astronomy,4
143,lautering process,2
144,negotiate with social service stakeholders,5
145,operate handheld riveting equipment,9
146,assess nutritional characteristics of food,15
147,install PVC piping,2
148,clean train interiors,11
149,perform oil tests,9
150,understand spoken Macedonian,18
151,pack fragile items for transportation,19
152,exercise neutrality in mediation cases,5
153,rear game,0
154,data ethics,3
155,maintain dental station and operatory,20
156,coordinate shifts,0
157,operate ride panel,14
158,authenticate documents,8
159,understand spoken Slovenian,18
160,manage drilling team,2
161,neurophysiology of animals,12
162,lay sewer pipe,2
163,assist with funeral planning,18
164,evaluate nursing care,12
165,pour molten metal into moulds,24
166,inspect agricultural fields,10
167,act reliably,3
168,husbandry and harvesting effects on aquatic resources,8
169,cold forging,2
170,monitor disposal of radioactive substances,10
171,transfer wax,3
172,control pyrotechnics stock,13
173,supervise accounting operations,8
174,hire post-production team,3
175,operate raw mineral size reduction equipment,24
176,process livestock organs,5
177,social pedagogy,3
178,government representation,13
179,export regulations of dual-use goods,14
180,Shiva (digital game creation systems),5
181,create GIS reports,8
182,draw prop sketches,7
183,grind terrazzo,11
184,write Chinese,18
185,snow removal safety hazards,1
186,identity aquaculture species,3
187,manage fitness goals,0
188,Order products,11
189,design wind turbines,21
190,evaluate implementation of safety procedures,0
191,operate waste incinerator,10
192,health care legislation,12
193,treat cases of malocclusion,4
194,develop calibration procedures,6
195,forensic linguistics,2
196,promote education programmes,3
197,attend to fitness clients under controlled health conditions,0
198,prepare work instructions,21
199,maintain safety systems,0
200,employ translation techniques,18
201,educate on the prevention of illness,12
202,use fleet management system,14
203,run laboratory simulations,13
204,assess physical conditions of clients,4
205,manufacturing of smoked tobacco products,15
206,assess coverage possibilities,8
207,teach business principles,3
208,perform video editing,7
209,operate wash plant,2
210,ensure health and safety of customers,0
211,operate oil pumping systems,6
212,estimate costs of installing telecommunication devices,5
213,obtain relevant licenses,8
214,ensure vessel security,3
215,repair small damages to windshields,6
216,operate the sound in the rehearsal studio,23
217,change soap filter,9
218,implement environmental protection measures,10
219,research passenger needs,0
220,thoracic surgery,12
221,maintain mixer truck,9
222,monitor political conflicts,8
223,conclude the psychotherapeutic relationship,12
224,advise customers on storage of fruits and vegetables,22
225,use motivational incentives in addiction counselling,13
226,repair furniture machinery,2
227,identify research topics,13
228,tend metal polishing machine,24
229,tend hot rolling mill,6
230,maintain physical condition of warehouse,6
231,drinks service operations,22
232,build a fire,2
233,prepare safety exercises on ships,0
234,screen television series pilots,14
235,separate unstable elements in the water,9
